,code,name,p_change,price,change,open,high,low,preprice,pe,volratio,turnover,range,volume,selling,buying,amount,totals,industry,area,floats,fvalues,abvalues,avgprice,strength,activity,avgturnover,attack,interval3,interval6
35,603776,永安行,9.99,46.78,4.25,46.78,46.78,46.78,42.53,36.6,0.0,0.16,0.0,384,347,36,1795978,9600.0,公共交通,江苏,2400.0,11.23,44.91,46.78,9.44,48,0.0033,0.0,45.19,45.19
36,002892,科力尔,9.99,30.6,2.78,30.6,30.6,30.6,27.82,35.35,0.0,0.05,0.0,91,79,11,277389,8360.0,电气设备,湖南,1760.0,5.39,25.58,30.6,9.28,18,0.0029,0.0,45.23,45.23
37,300688,创业黑马,9.99,30.16,2.74,30.16,30.16,30.16,27.42,67.16,0.0,0.26,0.0,446,400,46,1345136,6800.0,综合类,北京,1700.0,5.13,20.51,30.16,9.28,94,0.0028,0.0,133.8,133.8
38,300038,梅泰诺,9.99,37.54,3.41,37.54,37.54,37.54,34.13,34.03,0.56,1.13,0.0,16420,16117,303,61640756,31731.91,通信设备,北京,14569.66,54.69,119.12,37.54,9.28,186,0.0061,0.0,-6.55,-6.76
39,600876,洛阳玻璃,9.99,24.22,2.2,24.22,24.22,23.91,22.02,2754.14,0.86,2.94,1.41,77090,64314,12776,186664896,52676.69,玻璃,河南,26176.68,63.4,67.03,24.21,9.43,1222,0.0024,1.3,36.22,-5.43
40,603602,纵横通信,9.99,42.61,3.87,42.61,42.61,42.61,38.74,67.94,1.27,7.02,0.0,14045,9331,4713,59843616,8000.0,通信设备,浙江,2000.0,8.52,34.09,42.61,9.43,134,0.0524,0.0,133.86,133.86
41,002888,惠威科技,9.99,31.82,2.89,29.99,31.82,29.78,28.93,105.46,2.24,60.77,7.05,126277,64142,62134,392725120,8311.75,元器件,广东,2078.0,6.61,26.45,31.1,9.28,3226,0.0188,6.85,195.72,195.72
42,300675,建科院,9.99,25.88,2.35,22.77,25.88,22.66,23.53,575.72,0.93,49.71,13.68,182283,84605,97678,444491904,14666.66,建筑施工,深圳,3666.66,9.49,37.96,24.38,9.27,3909,0.0127,14.21,489.52,489.52
43,603129,春风动力,9.98,21.59,1.96,21.59,21.59,21.59,19.63,23.73,0.0,0.01,0.0,49,49,0,106007,13333.33,摩托车,浙江,3333.34,7.2,28.79,21.59,9.43,6,0.0025,0.0,9.98,9.98
44,002125,湘潭电化,9.98,13.99,1.27,12.6,13.99,12.57,12.72,109.81,1.55,11.36,11.16,252888,124373,128515,344063616,34560.0,化工原料,湖南,22260.9,31.14,48.35,13.61,9.27,3217,0.0035,11.3,35.17,12.46
